Doi,keywords
10.1016/j.ccell.2020.10.011,T cells;  RENAL cell carcinoma;  CD8 antigen;  CHEMOTAXIS;  LACTATE dehydrogenase;  STATISTICS;  REVERSE transcriptase polymerase chain reaction;  MEDICINAL plants;  IN vivo studies;  ANALYSIS of variance;  NEPHROTIC syndrome;  TREATMENT effectiveness;  DESCRIPTIVE statistics;  PHARMACEUTICAL chemistry;  MOLECULAR structure;  DATA analysis;  DATA analysis software;  CHINESE medicine;  HEPATOCELLULAR carcinoma;  CHEMOEMBOLIZATION;  IMMUNE checkpoint inhibitors;  NEOVASCULARIZATION inhibitors;  ANTINEOPLASTIC agents;  TRANSITIONAL cell carcinoma;  PROGRAMMED death-ligand 1;  PROGRAMMED cell death 1 receptors;  MONOCLONAL antibodies;  OVERALL survival;  THERAPEUTIC use of antineoplastic agents;  METASTASIS;  MTOR inhibitors;  PROTEIN-tyrosine kinase inhibitors;  KIDNEY tumors;  VASCULAR endothelial growth factors;  IMMUNOTHERAPY;  DEMETHYLATION;  MOLECULAR biology;  METHYLATION;  OXIDOREDUCTASES;  TUMORS;  TRANSCRIPTION factors;  CARRIER proteins;  CHEMICAL inhibitors;  PATIENT aftercare;  MULTIVARIATE analysis;  RETROSPECTIVE studies;  TERTIARY care;  RISK assessment;  CANCER patients;  SURVIVAL analysis (Biometry);  ELECTRONIC health records;  LONGITUDINAL method
10.1093/eurheartj/ehaa808,PHYSICIANS;  CARDIOLOGISTS;  EVALUATION;  PATIENT care;  ATRIAL fibrillation
10.1371/journal.pbio.3001026,MACHINE learning;  OPERONS;  TANDEM mass spectrometry;  GENE clusters;  NUCLEAR magnetic resonance;  NATURAL products;  CHEMICAL labeling;  Biology (General);  QH301-705.5
10.3389/fdgth.2020.576945,electronic health record (EHR);  machine/deep learning;  heart failure;  synthetic data;  surgical intervention;  Medicine;  Public aspects of medicine;  RA1-1270;  Electronic computers. Computer science;  QA75.5-76.95
10.3389/fneur.2020.583870,PRINCIPAL components analysis;  COVID-19;  SARS-CoV-2;  LYMPHOPENIA;  TENSION headache;  HEADACHE;  SYMPTOMS;  headache disorders;  migraine;  tension-type headache;  machine learning;  Neurology. Diseases of the nervous system;  RC346-429
10.3389/fmed.2020.607870,complications;  artificial intelligence;  time of surgery;  risk factors;  cataract surgery;  Medicine (General);  R5-920
10.3389/fped.2020.599049,electrophysiology;  cardiotocography;  fetal heart rate;  fetal electrocardiogram;  signal processing;  artificial intelligence;  Pediatrics;  RJ1-570
10.1186/s40662-020-00206-2,Deep learning;  Retinopathy of prematurity;  Artificial intelligence;  Fundus image;  Ophthalmology;  RE1-994
10.1080/13814788.2019.1678958,CLINICAL decision support systems;  MEDICAL technology;  ARTIFICIAL intelligence;  MEDICAL personnel;  SPIROMETRY equipment;  PERSONALLY identifiable information;  PRIMARY care;  PHARMACOGENOMICS;  INDIVIDUALIZED medicine;  BIOINFORMATICS;  ehealth;  digital health;  primary care;  ethics;  doctor–patient relationship;  Medicine (General);  R5-920
10.1136/jitc-2020-001510,Neoplasms. Tumors. Oncology. Including cancer and carcinogens;  RC254-282
10.3389/fpsyt.2020.604478,MACHINE learning;  FORECASTING;  WHITE matter (Nerve tissue);  GRAY matter (Nerve tissue);  GENETIC algorithms;  brain-age;  shallow machine learning;  linear models;  genetic algorithm;  support vector machine;  Psychiatry;  RC435-571
10.3389/fcvm.2020.618849,machine learning;  automation;  cardiovascular imaging;  precision medicine;  advanced imaging;  Diseases of the circulatory (Cardiovascular) system;  RC666-701
10.3389/fgene.2020.575928,COMPLEX numbers;  GENE expression;  DISEASES;  STEM cells;  FUNCTIONAL analysis;  genome-wide association study;  schizophreina;  fine mapping;  variant annotation;  brain disorders;  Genetics;  QH426-470
10.3389/fpsyt.2020.578706,PSYCHIATRIC research;  COMPUTATIONAL neuroscience;  MENTAL illness;  MACHINE learning;  DATABASES;  computational psychiatry;  database;  open-science;  RDoC = Research Domain Criteria;  DSM-5;  neuroscience;  Psychiatry;  RC435-571
10.1136/bmjopen-2020-037955,Medicine
10.3389/fmicb.2020.616971,BACTERIAL diseases;  RESPIRATORY diseases;  LUNG infections;  RESPIRATORY infections;  PATHOGENIC bacteria;  lung disease (diagnosis);  respiratory tract infection;  diagnostic test;  artificial intelligence;  rapid test;  Microbiology;  QR1-502
10.1136/bmjopen-2020-040712,Medicine
10.3389/fimmu.2020.630463,septic cardiomyopathy;  necroptosis;  apoptosis;  Petri nets;  modeling;  optimization;  Immunologic diseases. Allergy;  RC581-607;  HEPARAN sulfate;  MACHINE learning;  PETRI nets;  APOPTOSIS
10.3390/jimaging6120142,ROAD users;  CONVOLUTIONAL neural networks;  MACHINE learning;  AUTONOMOUS vehicles;  DRIVER assistance systems;  on-road detection;  artificial intelligence;  machine learning;  convolutional neural networks;  resource-constrained hardware;  one-stage detectors;  Photography;  TR1-1050;  Computer applications to medicine. Medical informatics;  R858-859.7;  Electronic computers. Computer science;  QA75.5-76.95
10.1093/noajnl/vdaa128,RADIOMICS;  MAGNETIC resonance imaging;  GLIOBLASTOMA multiforme;  BRAIN tumors;  ISOLATION perfusion;  GENOMICS;  FEATURE extraction;  BRAIN-computer interfaces;  DIAGNOSIS;  DIAGNOSTIC imaging
10.3389/fmicb.2020.592248,VITILIGO;  GUT microbiome;  MICROBIAL metabolites;  AUTOIMMUNE diseases;  MACHINE learning;  DISEASE duration;  INTERLEUKIN-23;  vitiligo;  gut microbiome;  16S rRNA sequence;  serum metabolomic;  gut-skin axis;  Microbiology;  QR1-502
10.3389/fpubh.2020.521355,digital intervention;  evaluation;  workplace health promotion;  occupational health psychology;  leadership;  capacity building;  Public aspects of medicine;  RA1-1270
10.3389/fgene.2020.620143,CANCER patients;  PNEUMONIA;  MEDICAL personnel;  PREOPERATIVE care;  ENTEROCOCCUS faecalis;  PORPHYROMONAS gingivalis;  ENTEROCOCCAL infections;  DEEP learning;  MACHINE learning;  ARTIFICIAL neural networks;  METABOLOMICS;  STATISTICS;  DECISION trees;  SUPPORT vector machines;  CLASSIFICATION;  CONDITIONAL probability;  REGRESSION analysis;  microbiome data;  dimension reduction;  t-SNE;  Aitchison distance;  classification;  Genetics;  QH426-470
10.3390/ijerph17249467,machine learning;  infectious disease;  public health surveillance;  online document;  classification;  Medicine
10.3390/jcm9124131,FAILED back surgery syndrome;  MACHINE learning;  FISHER discriminant analysis;  SPINAL cord;  REGRESSION trees;  pain;  prediction;  10 kHz spinal cord stimulation;  responders;  machine learning;  Medicine
10.3389/fgene.2020.618862,DATA mining;  SMALL molecules;  VIRAL load;  ACQUISITION of data;  RANDOM fields;  HIV;  text mining;  data mining;  named entity recognition;  NER;  virus-host interactions;  Genetics;  QH426-470
10.1186/s40662-020-0174-x,Corneal biomechanics;  Corneal ectasia;  Corneal imaging;  Ophthalmology;  RE1-994
10.1371/journal.ppat.1009097,VAGINAL contraceptives;  GENITALIA;  ORAL contraceptives;  MEDROXYPROGESTERONE;  UREAPLASMA;  BIOMARKERS;  HIV;  Immunologic diseases. Allergy;  RC581-607;  Biology (General);  QH301-705.5
10.1007/s13755-020-00119-3,X-rays;  COVID-19;  CONVOLUTIONAL neural networks;  DEEP learning;  X-ray imaging;  COVID-19 testing;  LUNG diseases;  CLASSIFICATION algorithms;  TUBERCULOSIS;  DATA mining;  FEATURE extraction
10.3389/fphar.2020.565644,CHEMICAL energy;  FERROELECTRIC crystals;  HEAT of reaction;  FERROELECTRIC materials;  EXOTHERMIC reactions;  REINFORCEMENT learning;  RECURRENT neural networks;  ARTIFICIAL intelligence;  LEARNING strategies;  FAILURE mode & effects analysis;  DRUG design;  DEEP learning;  generative models;  drug discovery;  deep learning;  benchmark;  distribution learning;  Therapeutics. Pharmacology;  RM1-950
10.3390/molecules26010127,QSAR models;  CARCINOGENICITY;  CARCINOGENS;  HEALTH risk assessment;  HAZARDOUS waste sites;  STRUCTURE-activity relationships;  CHEMICAL safety;  cancer slope factor;  in silico method;  QSAR;  prioritization;  Organic chemistry;  QD241-441
10.1371/journal.pbio.3001028,REINFORCEMENT learning;  SOCIAL learning;  IMITATIVE behavior;  SOCIAL context;  LEARNING;  INVERSE functions;  Biology (General);  QH301-705.5
10.3389/fped.2020.570834,area under the curve;  extreme gradient boosting;  support vector machine;  logistic regression;  nested cross-validation;  predictive model;  Pediatrics;  RJ1-570
10.1016/j.omtn.2020.08.022,GENOME-wide association studies;  SINGLE nucleotide polymorphisms;  DECISION trees;  PREDICTION models;  FRACTAL dimensions;  OLDER people;  SOURCE code;  EXPLANATION;  MACHINE learning;  VIDEO coding;  WEB servers;  RNA modification & restriction;  RNA;  FEATURE selection;  CHEMICAL reactions;  DYSARTHRIA;  BOOSTING algorithms;  VOICE disorders;  RANDOM forest algorithms;  POPULATION forecasting;  LEARNING strategies;  URBAN planning;  EARNINGS forecasting;  METROPOLIS;  REGIONAL planning;  COLLISIONS at sea;  SUPPORT vector machines;  SHIPS;  CONTAINER ships;  DECISION making;  INLAND water transportation;  DYNAMIC positioning systems;  LAND subsidence;  FORECASTING;  HYDROGEOLOGY;  WATER table;  PRINCIPAL components analysis;  N7-Methylguanosine;  m7G;  prediction;  XGBoost;  machine learning;  SHAP;  Therapeutics. Pharmacology;  RM1-950
10.3389/fphys.2020.583005,BEHAVIORAL assessment;  FUNCTIONAL connectivity;  FUNCTIONAL magnetic resonance imaging;  ADHD;  functional networks;  fMRI—functional magnetic resonance imaging;  machine learning;  Iowa Gambling Task;  Physiology;  QP1-981
10.3389/fgene.2020.612086,FORECASTING;  NUCLEOTIDE sequence;  RNA;  ALGORITHMS;  TERTIARY structure;  DEEP learning;  secondary structure prediction;  pseudoknot;  attention mechanism;  deep learning;  hard constraints;  Genetics;  QH426-470
10.3389/fmicb.2020.591021,JOINT infections;  BACTERIOPHAGES;  ARTIFICIAL implants;  REOPERATION;  PREVENTION;  PLAY therapy;  ARTIFICIAL joints;  periprosthetic joint infection;  phage (bacteriophage);  treatment;  biofilm;  immune system;  Microbiology;  QR1-502
10.3389/fdgth.2020.606246,health data interoperability;  outcomes measurement;  standardization;  machine learning;  patient centered;  Medicine;  Public aspects of medicine;  RA1-1270;  Electronic computers. Computer science;  QA75.5-76.95
10.3389/fneur.2020.609747,CEREBRAL edema;  INTRACLASS correlation;  RANDOM forest algorithms;  STROKE;  CEREBRAL arteries;  DECOMPRESSIVE craniectomy;  CEREBRAL revascularization;  malignant cerebral edema;  predictive model;  radiomics;  CT image;  ischemic stroke;  net water uptake;  Neurology. Diseases of the nervous system;  RC346-429
10.3389/fdgth.2020.569261,natural language processing;  disease incidence;  health statistic data;  deep learning;  machine learning;  Medicine;  Public aspects of medicine;  RA1-1270;  Electronic computers. Computer science;  QA75.5-76.95
10.3390/ijerph17249505,artificial neural network;  deep learning;  traffic safety;  taxi driver wellness;  random forest method;  Medicine
10.3389/fneur.2020.579683,MULTIPLE sclerosis;  FORECASTING;  CENTRAL nervous system diseases;  MYELIN sheath diseases;  RECEIVER operating characteristic curves;  DEMYELINATION;  multiple sclerosis;  relapse-free survival (RFS);  gene signature;  bioinformatic analysis;  translational medicine;  Neurology. Diseases of the nervous system;  RC346-429
10.3389/fimmu.2020.588411,MACROPHAGES;  PORCINE reproductive & respiratory syndrome;  LUNGS;  PRRSV-1;  pig;  lung mononuclear phagocytes;  gene expression;  immunogenomics;  machine learning;  Immunologic diseases. Allergy;  RC581-607
10.3390/ijerph17249322,QSAR;  biodegradable substances;  machine learning;  random trees;  C5.0 decision tree;  support vector machine;  Medicine
10.3390/jcm9124005,DENTISTRY;  DENTAL technology;  PREVENTIVE dentistry;  CAD/CAM systems;  DENTAL fillings;  n/a;  Medicine
10.3389/fmed.2020.566278,automated pain recognition;  artificial intelligence;  acceptance;  benefit;  multimodal;  Medicine (General);  R5-920
10.3389/fonc.2020.552270,PROGRESSION-free survival;  STOMACH cancer;  FORECASTING;  ADJUVANT chemotherapy;  PROPORTIONAL hazards models;  gastric cancer;  radiomics signature;  computed tomography;  prognosis;  support vector machine;  Neoplasms. Tumors. Oncology. Including cancer and carcinogens;  RC254-282
10.3389/fcvm.2020.609976,C-reactive protein;  CONVOLUTIONAL neural networks;  MODEL validation;  DEEP learning;  HEART beat;  left atrial enlargement (LAE);  convolutional neural network (CNN);  electrocardiogram (ECG);  echocardiography;  artificial intelligence (AI);  Diseases of the circulatory (Cardiovascular) system;  RC666-701
10.3389/fpubh.2020.515347,online health information;  machine learning;  health information quality assessment;  text classification;  natural language processing;  Public aspects of medicine;  RA1-1270
10.3389/fmed.2020.592663,machine learning;  refractive error;  myopia;  intraocular lens;  IOL power calculation;  Medicine (General);  R5-920
10.1136/bmjopen-2020-037269,Medicine
10.1016/j.omtn.2020.07.035,transcription factors;  methylated DNA;  machine learning;  sequence feature;  web server;  Therapeutics. Pharmacology;  RM1-950
10.3389/fphys.2020.611596,MINIMALLY invasive procedures;  COMPUTER vision;  ARTIFICIAL intelligence;  SENSORY perception;  SUPPORT vector machines;  VIBROTACTILE stimulation;  tactile sensors;  tactile perception;  tactile images;  minimally invasive surgery;  robotic surgery;  artificial intelligence;  Physiology;  QP1-981
10.1109/BIBM49941.2020.9313304,LUNGS;  X-ray imaging;  COVID-19;  COVID-19 testing;  SARS-CoV-2;  DEEP learning;  RADIOSCOPIC diagnosis;  IMAGE recognition (Computer vision);  TAXONOMY;  QUALITY of service;  MACHINE learning;  MEDICAL care
10.5624/ISD.2020.50.4.331,IMAGE reconstruction;  TOMOGRAPHY;  CONE beam computed tomography;  DEEP learning;  MACHINE learning
